segment,start_time,product_title,thumbnail
2,0.934,15. lamp water dispenser,product_segments/thumbs/seg_02.jpg
4,11.211,13. ac bedsheet,product_segments/thumbs/seg_04.jpg
5,13.08,12. flower frame vase,product_segments/thumbs/seg_05.jpg
7,17.284,11. magnet door stopper y,product_segments/thumbs/seg_07.jpg
8,18.685,11. magnet door stopper,product_segments/thumbs/seg_08.jpg
9,21.488,10. stepping stones -,product_segments/thumbs/seg_09.jpg
10,25.225,9. laundry apron,product_segments/thumbs/seg_10.jpg
12,28.962,8. cherry toilet scrubber,product_segments/thumbs/seg_12.jpg
14,34.101,7. bird feeder camera,product_segments/thumbs/seg_14.jpg
15,36.436,6. wall hole putty,product_segments/thumbs/seg_15.jpg
18,44.845,4. fridge drink dispenser,product_segments/thumbs/seg_18.jpg
19,48.115,3. bedsure cooling mattress pad,product_segments/thumbs/seg_19.jpg
22,51.385,2. secret ottoman,product_segments/thumbs/seg_22.jpg
23,55.589,1. slapp shop bath mat,product_segments/thumbs/seg_23.jpg
